timestamp_seconds,vehicle_count,vehicle_density_score,tracked_vehicle_count,moving_vehicle_count,slow_vehicle_count,stopped_vehicle_count,moving_vehicle_percentage,slow_vehicle_percentage,stopped_vehicle_percentage,average_speed_kmh,median_speed_kmh,average_pixel_speed,median_pixel_speed,movement_congestion_score,vision_congestion_score,traffic_state,calibration_status,cars,motorcycles,buses,trucks,total_pixel_movement,unknown
18.685,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,63.75,63.75,70.18,70.18,0.0,1.9,LOW,demo_calibration,1,0,0,0,12.62,0
18.852,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,67.36,67.36,78.07,78.07,0.0,1.9,LOW,demo_calibration,1,0,0,0,14.21,0
19.019,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,71.01,71.01,84.74,84.74,0.0,1.9,LOW,demo_calibration,1,0,0,0,15.62,0
19.186,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,75.4,75.4,99.47,99.47,0.0,1.9,LOW,demo_calibration,1,0,0,0,20.0,0
19.353,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,75.4,75.4,115.21,115.21,0.0,1.9,LOW,demo_calibration,1,0,0,0,22.1,0
19.52,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,75.4,75.4,133.03,133.03,0.0,1.9,LOW,demo_calibration,1,0,0,0,24.55,0
19.686,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,75.4,75.4,147.41,147.41,0.0,1.9,LOW,demo_calibration,1,0,0,0,27.04,0
19.853,2,9.523809523809524,2,1,0,0,50.0,0.0,0.0,75.4,75.4,169.73,169.73,5.0,6.81,LOW,demo_calibration,1,0,0,1,33.29,1
20.02,2,9.523809523809524,2,1,1,0,50.0,50.0,0.0,41.62,41.62,145.66,145.66,15.0,12.81,LOW,demo_calibration,2,0,0,0,55.3,0
20.187,3,14.285714285714285,3,2,0,0,66.66666666666666,0.0,0.0,50.52,50.52,167.04,167.04,3.33,7.71,LOW,demo_calibration,3,0,0,0,64.28,1
25.692,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
25.859,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,42.9,42.9,79.04,79.04,0.0,1.9,LOW,demo_calibration,1,0,0,0,13.2,0
26.026,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,42.9,42.9,94.34,94.34,0.0,1.9,LOW,demo_calibration,0,0,0,1,18.31,0
26.193,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,42.9,42.9,106.09,106.09,0.0,1.9,LOW,demo_calibration,1,0,0,0,21.64,0
26.36,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,42.9,42.9,125.87,125.87,0.0,1.9,LOW,demo_calibration,1,0,0,0,23.11,0
26.527,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,42.9,42.9,148.01,148.01,0.0,1.9,LOW,demo_calibration,1,0,0,0,29.4,0
26.86,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
29.363,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,2.69,2.69,8.21,8.21,30.0,19.9,LOW,demo_calibration,1,0,0,0,20.55,0
29.53,1,4.761904761904762,1,0,0,1,0.0,0.0,100.0,1.93,1.93,34.05,34.05,80.0,49.9,MODERATE,demo_calibration,1,0,0,0,10.0,0
29.696,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,2.45,2.45,41.77,41.77,30.0,19.9,LOW,demo_calibration,1,0,0,0,9.5,0
29.863,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,3.21,3.21,48.02,48.02,30.0,19.9,LOW,demo_calibration,1,0,0,0,4.5,0
30.197,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
30.364,2,9.523809523809524,2,1,0,0,50.0,0.0,0.0,38.73,38.73,65.94,65.94,5.0,6.81,LOW,demo_calibration,1,0,0,1,11.01,1
30.53,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,56.16,56.16,227.51,227.51,0.0,3.81,LOW,demo_calibration,1,0,0,1,77.49,0
30.697,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,56.16,56.16,232.95,232.95,0.0,3.81,LOW,demo_calibration,1,0,0,1,18.44,0
30.864,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,56.16,56.16,243.89,243.89,0.0,3.81,LOW,demo_calibration,1,0,0,1,21.97,0
31.031,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,56.16,56.16,324.47,324.47,0.0,3.81,LOW,demo_calibration,0,0,0,2,111.9,0
31.198,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,73.6,73.6,459.66,459.66,0.0,1.9,LOW,demo_calibration,0,0,0,1,67.12,0
31.365,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,73.6,73.6,407.35,407.35,0.0,1.9,LOW,demo_calibration,0,0,0,1,50.56,0
31.532,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,73.6,73.6,313.65,313.65,0.0,1.9,LOW,demo_calibration,0,0,0,1,39.46,0
31.698,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,73.6,73.6,238.1,238.1,0.0,1.9,LOW,demo_calibration,0,0,0,1,29.09,0
32.199,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,0,0,0,1,0.0,1
32.366,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,25.31,25.31,90.07,90.07,0.0,1.9,LOW,demo_calibration,0,0,0,1,15.04,0
32.532,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,50.46,50.46,95.55,95.55,0.0,1.9,LOW,demo_calibration,0,0,0,1,16.77,0
32.699,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,64.19,64.19,96.75,96.75,0.0,1.9,LOW,demo_calibration,0,0,0,1,16.56,0
32.866,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,69.7,69.7,92.76,92.76,0.0,1.9,LOW,demo_calibration,0,0,0,1,13.04,0
33.033,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,69.35,69.35,83.2,83.2,0.0,1.9,LOW,demo_calibration,0,0,0,1,12.08,0
33.2,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,68.42,68.42,69.52,69.52,0.0,1.9,LOW,demo_calibration,0,0,0,1,9.71,0
33.367,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,65.34,65.34,60.92,60.92,0.0,1.9,LOW,demo_calibration,0,0,0,1,8.73,0
33.534,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,67.38,67.38,62.93,62.93,0.0,1.9,LOW,demo_calibration,0,0,0,1,13.09,0
33.7,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,68.12,68.12,61.65,61.65,0.0,1.9,LOW,demo_calibration,1,0,0,0,9.01,0
34.868,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
35.035,2,9.523809523809524,2,1,0,0,50.0,0.0,0.0,30.82,30.82,55.04,55.04,5.0,6.81,LOW,demo_calibration,2,0,0,0,9.19,1
35.202,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,48.55,48.55,85.69,85.69,0.0,3.81,LOW,demo_calibration,2,0,0,0,29.33,0
35.369,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,56.75,56.75,100.46,100.46,0.0,3.81,LOW,demo_calibration,2,0,0,0,40.02,0
35.535,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,62.71,62.71,116.12,116.12,0.0,3.81,LOW,demo_calibration,2,0,0,0,46.73,0
35.702,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,62.71,62.71,142.44,142.44,0.0,3.81,LOW,demo_calibration,2,0,0,0,55.7,0
35.869,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,62.71,62.71,169.98,169.98,0.0,3.81,LOW,demo_calibration,2,0,0,0,67.61,0
36.036,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,62.71,62.71,211.59,211.59,0.0,3.81,LOW,demo_calibration,2,0,0,0,88.7,0
36.203,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,82.38,82.38,179.95,179.95,0.0,1.9,LOW,demo_calibration,1,0,0,0,36.55,0
40.874,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,0,0,0,1,0.0,1
41.041,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,33.25,33.25,303.11,303.11,0.0,1.9,LOW,demo_calibration,0,0,0,1,50.62,0
41.208,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,292.65,292.65,0.0,1.9,LOW,demo_calibration,0,0,0,1,47.13,0
41.375,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,296.02,296.02,0.0,1.9,LOW,demo_calibration,0,0,0,1,50.56,0
41.541,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,349.91,349.91,0.0,1.9,LOW,demo_calibration,0,0,0,1,77.16,0
41.708,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,450.11,450.11,0.0,1.9,LOW,demo_calibration,0,0,0,1,97.33,0
41.875,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,520.18,520.18,0.0,1.9,LOW,demo_calibration,0,0,0,1,85.67,0
42.042,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,498.4,498.4,0.0,1.9,LOW,demo_calibration,0,0,0,1,66.71,0
42.209,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,403.31,403.31,0.0,1.9,LOW,demo_calibration,0,0,0,1,49.68,0
42.376,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,310.88,310.88,0.0,1.9,LOW,demo_calibration,0,0,0,1,39.36,0
42.543,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,234.54,234.54,0.0,1.9,LOW,demo_calibration,0,0,0,1,28.46,0
42.709,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,194.48,194.48,0.0,1.9,LOW,demo_calibration,0,0,0,1,29.44,0
42.876,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,164.2,164.2,0.0,1.9,LOW,demo_calibration,0,0,0,1,24.19,0
43.043,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,142.44,142.44,0.0,1.9,LOW,demo_calibration,0,0,0,1,17.56,0
43.21,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,116.16,116.16,0.0,1.9,LOW,demo_calibration,0,0,0,1,16.45,0
43.377,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,98.27,98.27,0.0,1.9,LOW,demo_calibration,0,0,0,1,15.23,0
43.544,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,90.49,90.49,0.0,1.9,LOW,demo_calibration,0,0,0,1,13.66,0
43.71,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,83.71,83.71,0.0,1.9,LOW,demo_calibration,0,0,0,1,12.97,0
43.877,2,9.523809523809524,2,1,0,0,50.0,0.0,0.0,47.93,47.93,75.46,75.46,5.0,6.81,LOW,demo_calibration,1,0,0,1,11.1,1
44.044,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,33.56,33.56,55.26,55.26,0.0,3.81,LOW,demo_calibration,1,0,0,1,17.62,0
44.211,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.93,47.93,63.13,63.13,0.0,1.9,LOW,demo_calibration,0,0,0,1,9.71,0
47.381,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
47.547,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,36.33,36.33,66.88,66.88,0.0,1.9,LOW,demo_calibration,1,0,0,0,11.1,0
48.048,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,0,0,0,1,0.0,1
48.215,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,6.54,6.54,6.69,6.69,30.0,19.9,LOW,demo_calibration,0,0,0,1,1.12,0
51.218,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,24.23,24.23,66.88,66.88,0.0,1.9,LOW,demo_calibration,1,0,0,0,0.0,0
51.718,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
51.885,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.18,47.18,67.28,67.28,0.0,1.9,LOW,demo_calibration,1,0,0,0,11.24,0
52.052,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,74.15,74.15,66.03,66.03,0.0,1.9,LOW,demo_calibration,1,0,0,0,10.82,0
52.219,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,75.96,75.96,57.88,57.88,0.0,1.9,LOW,demo_calibration,1,0,0,0,6.95,0
54.555,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
54.721,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,20.55,20.55,65.19,65.19,0.0,3.81,LOW,demo_calibration,2,0,0,0,96.41,0
54.888,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,26.79,26.79,54.0,54.0,0.0,1.9,LOW,demo_calibration,1,0,0,0,3.81,0
55.556,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
56.223,2,9.523809523809524,2,1,0,0,50.0,0.0,0.0,27.09,27.09,28.93,28.93,5.0,6.81,LOW,demo_calibration,2,0,0,0,51.62,1
56.89,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,11.7,11.7,3.37,3.37,30.0,19.9,LOW,demo_calibration,1,0,0,0,4.5,0
58.725,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,17.42,17.42,40.92,40.92,0.0,1.9,LOW,demo_calibration,1,0,0,0,56.66,0
58.892,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,20.2,20.2,46.59,46.59,0.0,1.9,LOW,demo_calibration,1,0,0,0,17.07,0
61.228,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,13.84,13.84,4.7,4.7,30.0,19.9,LOW,demo_calibration,1,0,0,0,26.1,0
63.897,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
64.064,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,39.68,39.68,47.34,47.34,0.0,1.9,LOW,demo_calibration,1,0,0,0,7.91,0
64.231,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,62.26,62.26,50.15,50.15,0.0,1.9,LOW,demo_calibration,1,0,0,0,8.85,0
64.398,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,64.55,64.55,50.89,50.89,0.0,1.9,LOW,demo_calibration,1,0,0,0,8.75,0
64.564,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,64.21,64.21,54.92,54.92,0.0,1.9,LOW,demo_calibration,1,0,0,0,9.86,0
64.731,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,66.52,66.52,62.45,62.45,0.0,1.9,LOW,demo_calibration,1,0,0,0,12.62,0
67.901,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
68.068,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,24.41,24.41,64.49,64.49,0.0,1.9,LOW,demo_calibration,1,0,0,0,10.77,0
68.235,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,47.32,47.32,70.41,70.41,0.0,1.9,LOW,demo_calibration,1,0,0,0,12.75,0
68.402,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,53.93,53.93,80.12,80.12,0.0,1.9,LOW,demo_calibration,1,0,0,0,16.62,0
68.569,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,65.69,65.69,86.22,86.22,0.0,1.9,LOW,demo_calibration,1,0,0,0,13.83,0
68.735,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,74.7,74.7,97.64,97.64,0.0,1.9,LOW,demo_calibration,1,0,0,0,18.36,0
68.902,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,81.39,81.39,105.09,105.09,0.0,1.9,LOW,demo_calibration,1,0,0,0,20.35,0
69.069,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,81.39,81.39,123.92,123.92,0.0,1.9,LOW,demo_calibration,1,0,0,0,23.26,0
69.236,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,81.39,81.39,141.07,141.07,0.0,1.9,LOW,demo_calibration,1,0,0,0,27.06,0
73.74,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,13.83,13.83,150.67,150.67,30.0,19.9,LOW,demo_calibration,1,0,0,0,0.0,0
74.241,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
76.076,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
76.41,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
76.576,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,29.54,29.54,79.52,79.52,0.0,1.9,LOW,demo_calibration,1,0,0,0,13.2,0
76.743,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,56.89,56.89,82.13,82.13,0.0,1.9,LOW,demo_calibration,1,0,0,0,14.15,0
76.91,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,56.89,56.89,97.11,97.11,0.0,1.9,LOW,demo_calibration,1,0,0,0,21.22,0
77.077,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,56.89,56.89,118.01,118.01,0.0,1.9,LOW,demo_calibration,1,0,0,0,23.75,0
77.244,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,56.89,56.89,145.73,145.73,0.0,1.9,LOW,demo_calibration,1,0,0,0,28.04,0
77.744,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,41.39,41.39,162.04,162.04,0.0,1.9,LOW,demo_calibration,1,0,0,0,0.0,0
78.412,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
82.416,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
82.582,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,27.2,27.2,50.13,50.13,0.0,1.9,LOW,demo_calibration,0,0,0,1,8.32,0
87.921,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
88.088,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,51.94,51.94,89.32,89.32,0.0,1.9,LOW,demo_calibration,1,0,0,0,14.92,0
88.255,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,51.94,51.94,91.67,91.67,0.0,1.9,LOW,demo_calibration,1,0,0,0,15.7,0
88.422,2,9.523809523809524,2,1,0,0,50.0,0.0,0.0,51.94,51.94,86.12,86.12,5.0,6.81,LOW,demo_calibration,2,0,0,0,12.53,1
88.588,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,37.48,37.48,53.83,53.83,0.0,3.81,LOW,demo_calibration,2,0,0,0,16.12,0
88.755,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,37.48,37.48,56.56,56.56,0.0,3.81,LOW,demo_calibration,2,0,0,0,20.0,0
88.922,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,37.48,37.48,56.03,56.03,0.0,3.81,LOW,demo_calibration,2,0,0,0,19.92,0
89.089,2,9.523809523809524,2,2,0,0,100.0,0.0,0.0,37.48,37.48,66.56,66.56,0.0,3.81,LOW,demo_calibration,2,0,0,0,26.77,0
89.256,3,14.285714285714285,3,2,0,0,66.66666666666666,0.0,0.0,37.48,37.48,67.69,67.69,3.33,7.71,LOW,demo_calibration,3,0,0,0,21.13,1
