zone_id,week,zone_type,population_density,vehicle_density,congestion,average_speed,congestion_trend_4w,actual_incident,predicted_risk_probability,model_name,risk_score,population_exposure_score,vehicle_exposure_score,temporal_trend_score,priority_score,priority_rank,priority_level,location_name,city,latitude,longitude
Zone_05,49,Commercial_Downtown,8343,14.82,11.93,53.14,0.314,0,0.2021,Random Forest Classifier,20.21,50.16164954378907,17.3964080291114,54.766064841778295,32.318603718036286,199,LOW,Powai,Mumbai,19.1176,72.906
Zone_05,50,Commercial_Downtown,8343,15.01,14.18,62.27,-1.062,0,0.1775,Random Forest Classifier,17.75,50.16164954378907,17.619438901279494,49.42341292952824,30.577812105632404,205,LOW,Powai,Mumbai,19.1176,72.906
Zone_05,51,Commercial_Downtown,8343,24.58,14.98,61.65,-1.608,0,0.2491,Random Forest Classifier,24.91,50.16164954378907,28.853151778377743,47.30343622597553,35.37055817551915,180,MODERATE,Powai,Mumbai,19.1176,72.906
Zone_05,52,Commercial_Downtown,8343,24.42,15.54,50.52,-1.308,0,0.2604,Random Forest Classifier,26.040000000000003,50.16164954378907,28.6653363070783,48.468258590564936,35.959718435947664,173,MODERATE,Powai,Mumbai,19.1176,72.906
Zone_06,47,University_District,8747,41.36,15.73,60.31,0.707,0,0.1676,Random Forest Classifier,16.76,53.064156907823836,48.55029933090738,56.291982139390406,38.123896414045994,156,MODERATE,Borivali,Mumbai,19.2307,72.8567
Zone_06,48,University_District,8747,47.38,37.51,45.84,-2.543,0,0.5395,Random Forest Classifier,53.949999999999996,53.064156907823836,55.616856438549135,43.67307318967191,52.52037149311658,71,MODERATE,Borivali,Mumbai,19.2307,72.8567
Zone_06,49,University_District,8747,41.07,35.63,48.33,5.407,0,0.4195,Random Forest Classifier,41.949999999999996,53.064156907823836,48.209883789177134,74.540865851291,50.869145862485034,80,MODERATE,Borivali,Mumbai,19.2307,72.8567
Zone_06,50,University_District,8747,39.62,24.19,58.09,4.992,0,0.2078,Random Forest Classifier,20.78,53.064156907823836,46.50780608052588,72.92952824694234,41.81902968010249,137,MODERATE,Borivali,Mumbai,19.2307,72.8567
Zone_06,51,University_District,8747,38.54,22.71,62.47,2.35,0,0.2431,Random Forest Classifier,24.310000000000002,53.064156907823836,45.24005164925461,62.671325956125024,41.43874845022563,139,MODERATE,Borivali,Mumbai,19.2307,72.8567
Zone_06,52,University_District,8747,34.76,28.17,49.6,-5.584,0,0.373,Random Forest Classifier,37.3,53.064156907823836,40.80291113980514,31.86565715395069,41.126470028009585,143,MODERATE,Borivali,Mumbai,19.2307,72.8567
Zone_07,47,University_District,7267,48.12,68.74,40.13,6.877,0,0.7855,Random Forest Classifier,78.55,42.43120913858755,56.48550299330907,80.24849543777907,65.36217719897556,41,HIGH,Goregaon,Mumbai,19.1663,72.8526
Zone_07,48,University_District,7267,47.53,73.91,38.49,2.636,0,0.8514,Random Forest Classifier,85.14,42.43120913858755,55.792933442892355,63.78178994370024,65.3896574647804,40,HIGH,Goregaon,Mumbai,19.1663,72.8526
Zone_07,49,University_District,7267,49.34,91.49,22.89,-0.425,1,0.947,Random Forest Classifier,94.69999999999999,42.43120913858755,57.91759596196737,51.89671908367307,67.85582933959131,35,HIGH,Goregaon,Mumbai,19.1663,72.8526
Zone_07,50,University_District,7267,50.91,75.9,34.63,0.847,1,0.9025,Random Forest Classifier,90.25,42.43120913858755,59.76053527409319,56.83556590953213,67.18524422589535,37,HIGH,Goregaon,Mumbai,19.1663,72.8526
Zone_07,51,University_District,7267,49.15,75.49,39.94,3.906,1,0.8896,Random Forest Classifier,88.96,42.43120913858755,57.694565089799276,68.7128712871287,68.03764599567604,34,HIGH,Goregaon,Mumbai,19.1663,72.8526
Zone_07,52,University_District,7267,45.16,87.84,23.9,-1.085,1,0.9603,Random Forest Classifier,96.03,42.43120913858755,53.010916774269276,49.33410988157639,67.0221021217372,38,HIGH,Goregaon,Mumbai,19.1663,72.8526
Zone_08,47,Highway_Junction,2040,2.24,2.95,64.9,-1.659,0,0.1853,Random Forest Classifier,18.529999999999998,4.878224010345571,2.629416598192276,47.10541642399534,16.223251785824147,293,LOW,Thane,Mumbai,19.2183,72.9781
Zone_08,48,Highway_Junction,2040,10.04,10.71,58.97,-2.841,0,0.2543,Random Forest Classifier,25.430000000000003,4.878224010345571,11.78542082404038,42.5160163075131,20.126042613521435,265,LOW,Thane,Mumbai,19.2183,72.9781
Zone_08,49,Highway_Junction,2040,9.15,6.85,65.23,-0.273,0,0.1076,Random Forest Classifier,10.76,4.878224010345571,10.7406972649372,52.48689574839837,15.544729817833588,299,LOW,Thane,Mumbai,19.2183,72.9781
Zone_08,50,Highway_Junction,2040,8.84,9.77,64.78,-0.214,1,0.18,Random Forest Classifier,18.0,4.878224010345571,10.376804789294518,52.71597748010095,18.40231358246044,277,LOW,Thane,Mumbai,19.2183,72.9781
Zone_08,51,Highway_Junction,2040,5.51,6.34,58.11,1.66,0,0.1314,Random Forest Classifier,13.139999999999999,4.878224010345571,6.467895292874751,59.9922345175694,16.767970238796753,286,LOW,Thane,Mumbai,19.2183,72.9781
Zone_08,52,Highway_Junction,2040,4.09,5.31,57.52,-1.019,0,0.1851,Random Forest Classifier,18.509999999999998,4.878224010345571,4.801032985092147,49.59037080178605,17.02231821987273,284,LOW,Thane,Mumbai,19.2183,72.9781
Zone_09,47,Suburban_LowDensity,3241,9.91,9.32,65.95,-0.777,0,0.1555,Random Forest Classifier,15.55,13.506717436597457,11.632820753609579,50.52999417588817,19.502742636254506,270,LOW,Vashi,Mumbai,19.0771,72.9986
Zone_09,48,Suburban_LowDensity,3241,7.25,6.41,62.21,0.991,0,0.1317,Random Forest Classifier,13.170000000000002,13.506717436597457,8.51038854325625,57.394680644535036,18.95595916448087,272,LOW,Vashi,Mumbai,19.0771,72.9986
Zone_09,49,Suburban_LowDensity,3241,2.74,5.58,53.63,-0.632,1,0.1558,Random Forest Classifier,15.58,13.506717436597457,3.2163399460030524,51.09299165210639,17.915896096165934,280,LOW,Vashi,Mumbai,19.0771,72.9986
Zone_09,50,Suburban_LowDensity,3241,0.0,0.0,65.08,-0.249,1,0.2468,Random Forest Classifier,24.68,13.506717436597457,0.0,52.58008153756551,21.13569158978419,256,LOW,Vashi,Mumbai,19.0771,72.9986
Zone_09,51,Suburban_LowDensity,3241,0.0,7.84,53.13,-2.879,0,0.2115,Random Forest Classifier,21.15,13.506717436597457,0.0,42.36847214133178,18.19195018034913,279,LOW,Vashi,Mumbai,19.0771,72.9986
Zone_09,52,Suburban_LowDensity,3241,0.0,6.02,62.74,-0.129,0,0.2356,Random Forest Classifier,23.56,13.506717436597457,0.0,53.04601048340128,20.757580931659554,258,LOW,Vashi,Mumbai,19.0771,72.9986
Zone_10,47,Residential,15099,66.68,100.0,19.47,-2.28,1,0.9513,Random Forest Classifier,95.13000000000001,98.69961922551907,78.27209766404508,44.69423412929528,85.08545945858309,6,CRITICAL,Colaba,Mumbai,18.922,72.8347
Zone_10,48,Residential,15099,67.33,88.09,33.02,1.427,1,0.9185,Random Forest Classifier,91.85,98.69961922551907,79.03509801619907,59.087555814404965,86.08505778178034,4,CRITICAL,Colaba,Mumbai,18.922,72.8347
Zone_10,49,Residential,15099,65.37,85.39,35.36,-1.301,1,0.9185,Random Forest Classifier,91.85,98.69961922551907,76.73435849278086,48.49543777907202,84.03609217179674,8,CRITICAL,Colaba,Mumbai,18.922,72.8347
Zone_10,50,Residential,15099,62.17,86.82,31.27,1.242,1,0.8949,Random Forest Classifier,89.49000000000001,98.69961922551907,72.97804906679188,58.36924868957484,83.82190192317438,10,CRITICAL,Colaba,Mumbai,18.922,72.8347
Zone_10,51,Residential,15099,67.72,87.87,32.73,-4.224,1,0.8324,Random Forest Classifier,83.24000000000001,98.69961922551907,79.4928982274915,37.146185206755966,79.44141223289148,21,CRITICAL,Colaba,Mumbai,18.922,72.8347
Zone_10,52,Residential,15099,66.42,85.64,33.92,0.077,1,0.921,Random Forest Classifier,92.10000000000001,98.69961922551907,77.96689752318348,53.84585517375267,85.18516258707938,5,CRITICAL,Colaba,Mumbai,18.922,72.8347
Zone_11,47,Residential,9955,28.73,34.61,56.91,-3.408,0,0.3246,Random Forest Classifier,32.46,61.74294130325454,33.72461556520718,40.31450203843914,41.21183374462094,141,MODERATE,Lower Parel,Mumbai,18.9988,72.8258
Zone_11,48,Residential,9955,26.72,31.24,54.98,3.07,0,0.3233,Random Forest Classifier,32.33,61.74294130325454,31.365183707007866,65.46689963113958,44.460807011886146,127,MODERATE,Lower Parel,Mumbai,18.9988,72.8258
Zone_11,49,Residential,9955,25.41,28.58,61.85,-0.205,0,0.2667,Random Forest Classifier,26.669999999999998,61.74294130325454,29.82744453574363,52.75092215103862,39.98186255561816,149,MODERATE,Lower Parel,Mumbai,18.9988,72.8258
Zone_11,50,Residential,9955,21.51,26.87,59.92,0.056,0,0.3182,Random Forest Classifier,31.819999999999997,61.74294130325454,25.249442422819584,53.7643176082314,41.278271451612255,140,MODERATE,Lower Parel,Mumbai,18.9988,72.8258
Zone_11,51,Residential,9955,27.93,46.41,42.96,-2.588,0,0.6707,Random Forest Classifier,67.07,61.74294130325454,32.785538208709944,43.49834983498349,55.345595442803145,61,HIGH,Lower Parel,Mumbai,18.9988,72.8258
Zone_11,52,Residential,9955,35.9,50.15,49.5,4.38,0,0.4946,Random Forest Classifier,49.46,61.74294130325454,42.141096372813706,70.55329062317995,54.23094819385337,64,MODERATE,Lower Parel,Mumbai,18.9988,72.8258
Zone_12,47,Commercial_Downtown,8725,20.56,12.21,64.88,-3.457,0,0.2251,Random Forest Classifier,22.509999999999998,52.90609957611897,24.134288061979102,40.124247718889535,33.07601966425899,198,LOW,Malad,Mumbai,19.1874,72.8484
Zone_12,48,Commercial_Downtown,8725,22.74,20.37,48.69,-3.782,0,0.3077,Random Forest Classifier,30.769999999999996,52.90609957611897,26.693273858434086,38.86235682391768,36.70253318930421,164,MODERATE,Malad,Mumbai,19.1874,72.8484
Zone_12,49,Commercial_Downtown,8725,22.44,21.45,50.65,-0.11,0,0.3025,Random Forest Classifier,30.25,52.90609957611897,26.341119849747624,53.11978256649195,38.56271624895306,152,MODERATE,Malad,Mumbai,19.1874,72.8484
Zone_12,50,Commercial_Downtown,8725,25.42,19.02,59.83,2.997,0,0.1756,Random Forest Classifier,17.560000000000002,52.90609957611897,29.839183002699848,65.18345952242282,35.99588042293313,172,MODERATE,Malad,Mumbai,19.1874,72.8484
Zone_12,51,Commercial_Downtown,8725,26.56,19.24,58.01,2.151,0,0.2074,Random Forest Classifier,20.74,52.90609957611897,31.177368235708414,61.898660454280716,37.04279760931353,161,MODERATE,Malad,Mumbai,19.1874,72.8484
Zone_12,52,Commercial_Downtown,8725,31.32,20.1,58.75,-0.582,0,0.2392,Random Forest Classifier,23.919999999999998,52.90609957611897,36.76487850686701,51.28712871287128,37.84056990233384,158,MODERATE,Malad,Mumbai,19.1874,72.8484
Zone_13,47,Suburban_LowDensity,1361,10.03,5.05,66.03,-3.489,0,0.1868,Random Forest Classifier,18.68,0.0,11.773682357084164,40.0,15.826736471416833,297,LOW,Chembur,Mumbai,19.062,72.897
Zone_13,48,Suburban_LowDensity,1361,7.47,4.33,63.9,-0.637,0,0.1574,Random Forest Classifier,15.740000000000002,0.0,8.768634816292991,51.07357794602989,15.710763655163083,298,LOW,Chembur,Mumbai,19.062,72.897
Zone_13,49,Suburban_LowDensity,1361,3.73,6.49,62.52,0.284,0,0.1699,Random Forest Classifier,16.99,0.0,4.378448174668388,54.64958260531936,15.86912702573158,296,LOW,Chembur,Mumbai,19.062,72.897
Zone_13,50,Suburban_LowDensity,1361,4.56,9.54,57.13,1.77,0,0.1509,Random Forest Classifier,15.09,0.0,5.352740932034275,60.41933605125218,16.169448594094682,294,LOW,Chembur,Mumbai,19.062,72.897
Zone_13,51,Suburban_LowDensity,1361,0.0,8.21,60.32,1.563,0,0.2465,Random Forest Classifier,24.65,0.0,0.0,59.6156086196855,18.802341292952825,274,LOW,Chembur,Mumbai,19.062,72.897
Zone_13,52,Suburban_LowDensity,1361,0.0,5.24,63.88,1.469,0,0.2366,Random Forest Classifier,23.66,0.0,0.0,59.25063094544748,18.351594641817123,278,LOW,Chembur,Mumbai,19.062,72.897
Zone_14,47,University_District,10551,43.6,20.58,60.26,3.514,0,0.1633,Random Forest Classifier,16.33,66.02485810762268,51.179715929099665,67.19083673073189,43.35278322233539,134,MODERATE,Connaught Place,Delhi,28.6315,77.2167
Zone_14,48,University_District,10551,44.81,17.27,61.64,2.499,0,0.2355,Random Forest Classifier,23.549999999999997,66.02485810762268,52.600070430801736,63.249854397204416,45.93370677264667,116,MODERATE,Connaught Place,Delhi,28.6315,77.2167
Zone_14,49,University_District,10551,50.19,22.92,60.81,-0.427,0,0.3205,Random Forest Classifier,32.05,66.02485810762268,58.915365653245686,51.88895360124247,48.89263069774118,93,MODERATE,Connaught Place,Delhi,28.6315,77.2167
Zone_14,50,University_District,10551,48.24,34.15,48.28,-2.701,0,0.4534,Random Forest Classifier,45.34,66.02485810762268,56.62636459678366,43.05960007765482,52.426427457910634,72,MODERATE,Connaught Place,Delhi,28.6315,77.2167
Zone_14,51,University_District,10551,42.08,22.37,62.52,4.636,0,0.2357,Random Forest Classifier,23.57,66.02485810762268,49.3954689517549,71.54727237429624,46.54539917340109,112,MODERATE,Connaught Place,Delhi,28.6315,77.2167
Zone_14,52,University_District,10551,47.14,31.44,46.74,2.653,0,0.502,Random Forest Classifier,50.2,66.02485810762268,55.335133231599954,63.847796544360314,57.23041065487971,56,HIGH,Connaught Place,Delhi,28.6315,77.2167
Zone_15,47,Residential,14863,73.47,49.07,48.37,-3.46,0,0.4778,Random Forest Classifier,47.78,97.00409512177599,86.2425167273154,40.112599495243636,66.62841705019362,39,HIGH,Dwarka,Delhi,28.5921,77.046
Zone_15,48,Residential,14863,74.86,73.28,30.58,1.508,0,0.9023,Random Forest Classifier,90.23,97.00409512177599,87.87416363422938,59.4020578528441,86.8281651852165,3,CRITICAL,Dwarka,Delhi,28.5921,77.046
Zone_15,49,Residential,14863,77.04,76.03,30.87,7.563,1,0.8574,Random Forest Classifier,85.74000000000001,97.00409512177599,90.43314943068437,82.91205591147349,89.07046205330191,2,CRITICAL,Dwarka,Delhi,28.5921,77.046
Zone_15,50,Residential,14863,75.01,76.18,27.81,8.988,1,0.9076,Random Forest Classifier,90.75999999999999,97.00409512177599,88.0502406385726,88.44496214327314,91.43181622964948,1,CRITICAL,Dwarka,Delhi,28.5921,77.046
Zone_15,51,Residential,14863,70.77,47.17,48.48,8.408,1,0.6584,Random Forest Classifier,65.84,97.00409512177599,83.07313064913721,86.19297223840029,80.13059574603149,18,CRITICAL,Dwarka,Delhi,28.5921,77.046
Zone_15,52,Residential,14863,76.31,74.53,32.54,-7.818,0,0.8379,Random Forest Classifier,83.78999999999999,97.00409512177599,89.57624134288062,23.191613278974955,79.16101404086636,22,CRITICAL,Dwarka,Delhi,28.5921,77.046
Zone_16,47,Highway_Junction,1963,24.47,15.01,61.81,1.984,0,0.1591,Random Forest Classifier,15.909999999999998,4.325023349378547,28.724028641859373,61.25024267132595,22.377597966415404,242,LOW,Rohini,Delhi,28.7495,77.0565
Zone_16,48,Highway_Junction,1963,22.93,8.46,64.86,0.574,0,0.1363,Random Forest Classifier,13.63,4.325023349378547,26.916304730602185,55.775577557755774,20.28285341712844,263,LOW,Rohini,Delhi,28.7495,77.0565
Zone_16,49,Highway_Junction,1963,21.13,11.38,64.67,-1.351,0,0.1734,Random Forest Classifier,17.34,4.325023349378547,24.80338067848339,48.301300718307125,20.223127080787386,264,LOW,Rohini,Delhi,28.7495,77.0565
Zone_16,50,Highway_Junction,1963,16.31,9.17,62.79,-2.791,0,0.1277,Random Forest Classifier,12.770000000000001,4.325023349378547,19.14543960558751,42.710153368278,16.42486676370384,290,LOW,Rohini,Delhi,28.7495,77.0565
Zone_16,51,Highway_Junction,1963,20.39,9.36,63.48,-1.46,0,0.1724,Random Forest Classifier,17.24,4.325023349378547,23.93473412372344,47.87808192583964,19.94591495096527,266,LOW,Rohini,Delhi,28.7495,77.0565
Zone_16,52,Highway_Junction,1963,20.2,10.46,60.05,0.049,0,0.1609,Random Forest Classifier,16.09,4.325023349378547,23.711703251555345,53.73713841972432,20.320167250614354,262,LOW,Rohini,Delhi,28.7495,77.0565
Zone_17,47,Residential,8064,23.03,18.74,59.99,-2.075,0,0.2514,Random Forest Classifier,25.14,48.15719520080465,27.03368940016434,45.490196078431374,34.32556609199874,190,LOW,Saket,Delhi,28.5244,77.2066
Zone_17,48,Residential,8064,23.02,25.69,57.54,-3.717,0,0.2646,Random Forest Classifier,26.46,48.15719520080465,27.02195093320812,39.11473500291205,33.894899237279596,193,LOW,Saket,Delhi,28.5244,77.2066
Zone_17,49,Residential,8064,18.67,24.76,50.03,3.171,1,0.3651,Random Forest Classifier,36.51,48.15719520080465,21.915717807254374,65.85905649388467,40.905300835734735,144,MODERATE,Saket,Delhi,28.5244,77.2066
Zone_17,50,Residential,8064,21.61,22.18,58.18,2.573,0,0.2522,Random Forest Classifier,25.22,48.15719520080465,25.366827092381733,63.537177247136476,36.73124080574798,163,MODERATE,Saket,Delhi,28.5244,77.2066
Zone_17,51,Residential,8064,23.77,23.78,56.92,0.939,0,0.3038,Random Forest Classifier,30.380000000000003,48.15719520080465,27.902335954924283,57.192778101339535,38.35068270638695,153,MODERATE,Saket,Delhi,28.5244,77.2066
Zone_17,52,Residential,8064,23.44,23.0,62.25,-0.831,0,0.2525,Random Forest Classifier,25.25,48.15719520080465,27.51496654536918,50.32032615026208,35.19034103181431,183,MODERATE,Saket,Delhi,28.5244,77.2066
Zone_18,47,Industrial_Corridor,3295,7.12,3.53,67.3,-1.275,0,0.1827,Random Forest Classifier,18.27,13.894676341691214,8.35778847282545,48.59638905066977,19.74268513758836,268,LOW,Karol Bagh,Delhi,28.6514,77.1907
Zone_18,48,Industrial_Corridor,3295,8.59,4.28,62.29,-1.571,0,0.1824,Random Forest Classifier,18.240000000000002,13.894676341691214,10.08334311538913,47.44709765094156,19.903402356141864,267,LOW,Karol Bagh,Delhi,28.6514,77.1907
Zone_18,49,Industrial_Corridor,3295,9.05,3.59,52.24,-0.9,1,0.1463,Random Forest Classifier,14.63,13.894676341691214,10.623312595375046,50.052417006406515,18.95819415545879,271,LOW,Karol Bagh,Delhi,28.6514,77.1907
Zone_18,50,Industrial_Corridor,3295,8.39,8.08,62.66,0.057,1,0.1749,Random Forest Classifier,17.49,13.894676341691214,9.848573776264821,53.7682003494467,20.504613893092774,259,LOW,Karol Bagh,Delhi,28.6514,77.1907
Zone_18,51,Industrial_Corridor,3295,16.93,11.39,59.46,1.296,0,0.1941,Random Forest Classifier,19.41,13.894676341691214,19.873224556872874,58.578916715200926,23.999151504077517,230,LOW,Karol Bagh,Delhi,28.6514,77.1907
Zone_18,52,Industrial_Corridor,3295,16.02,11.05,63.62,2.582,0,0.1484,Random Forest Classifier,14.84,13.894676341691214,18.80502406385726,63.57212191807415,22.70649218590538,239,LOW,Karol Bagh,Delhi,28.6514,77.1907
Zone_19,47,Industrial_Corridor,4136,14.33,7.89,56.27,-0.501,0,0.1481,Random Forest Classifier,14.81,19.936777067318054,16.821223148256838,51.601630751310424,22.012683509177446,248,LOW,Lajpat Nagar,Delhi,28.5677,77.243
Zone_19,48,Industrial_Corridor,4136,15.19,7.83,65.11,0.499,0,0.1448,Random Forest Classifier,14.48,19.936777067318054,17.83073130649137,55.48437196660843,22.66499632311905,240,LOW,Lajpat Nagar,Delhi,28.5677,77.243
Zone_19,49,Industrial_Corridor,4136,12.22,7.07,64.2,-0.753,0,0.1648,Random Forest Classifier,16.48,19.936777067318054,14.344406620495365,50.62317996505532,22.038552585686887,247,LOW,Lajpat Nagar,Delhi,28.5677,77.243
Zone_19,50,Industrial_Corridor,4136,6.96,6.15,51.89,-0.441,0,0.1495,Random Forest Classifier,14.95,19.936777067318054,8.169973001526001,51.834595224228295,20.373378150768957,261,LOW,Lajpat Nagar,Delhi,28.5677,77.243
Zone_19,51,Industrial_Corridor,4136,10.71,9.9,54.2,-0.598,0,0.1913,Random Forest Classifier,19.13,19.936777067318054,12.571898110106822,51.22500485342651,22.834324616864855,237,LOW,Lajpat Nagar,Delhi,28.5677,77.243
Zone_19,52,Industrial_Corridor,4136,14.62,13.09,54.51,0.529,0,0.1793,Random Forest Classifier,17.93,19.936777067318054,17.16163868998709,55.600854203067364,23.928650135287036,231,LOW,Lajpat Nagar,Delhi,28.5677,77.243
Zone_20,47,Commercial_Downtown,3700,24.0,14.5,64.01,-0.823,0,0.1484,Random Forest Classifier,14.84,16.80436812989439,28.172320694917246,50.35138807998446,23.324264383454715,235,LOW,Vasant Kunj,Delhi,28.5293,77.1541
Zone_20,48,Commercial_Downtown,3700,16.53,5.67,64.61,0.081,0,0.1506,Random Forest Classifier,15.06,16.80436812989439,19.403685878624252,53.86138613861385,22.185037128990523,244,LOW,Vasant Kunj,Delhi,28.5293,77.1541
Zone_20,49,Commercial_Downtown,3700,11.96,8.63,52.34,-1.866,0,0.2058,Random Forest Classifier,20.580000000000002,16.80436812989439,14.039206479633762,46.30168899242865,22.18618667726465,243,LOW,Vasant Kunj,Delhi,28.5293,77.1541
Zone_20,50,Commercial_Downtown,3700,5.94,7.47,55.14,-2.023,0,0.2114,Random Forest Classifier,21.14,16.80436812989439,6.972649371992018,45.69209862162686,20.905436700116034,257,LOW,Vasant Kunj,Delhi,28.5293,77.1541
