timestamp_seconds,vehicle_count,vehicle_density_score,tracked_vehicle_count,moving_vehicle_count,slow_vehicle_count,stopped_vehicle_count,moving_vehicle_percentage,slow_vehicle_percentage,stopped_vehicle_percentage,average_pixel_speed,median_pixel_speed,movement_congestion_score,vision_congestion_score,traffic_state
2.667,17,75.0,17,0,14,3,0.0,82.35294117647058,17.647058823529413,4.941035556033917,5.988023952095815,38.8235294117647,53.294117647058826,MODERATE
2.833,18,81.25,18,0,16,2,0.0,88.88888888888889,11.11111111111111,5.459620105852832,6.024096385542156,35.55555555555556,53.83333333333333,MODERATE
3.0,18,81.25,18,3,14,1,16.666666666666664,77.77777777777779,5.555555555555555,6.985130022961872,5.988023952095815,27.77777777777778,49.16666666666667,MODERATE
3.167,19,87.5,19,0,15,4,0.0,78.94736842105263,21.052631578947366,4.033178923711326,4.234172342434421,40.526315789473685,59.315789473684205,HIGH
3.333,20,93.75,20,0,13,7,0.0,65.0,35.0,3.146524431775922,3.012048192771078,47.5,66.0,HIGH
3.5,20,93.75,20,1,12,7,5.0,60.0,35.0,3.4784532900448824,2.994011976047908,46.0,65.1,HIGH
3.667,20,93.75,20,1,12,7,5.0,60.0,35.0,3.0279599943734103,2.994011976047908,46.0,65.1,HIGH
3.833,21,100.0,21,2,19,0,9.523809523809524,90.47619047619048,0.0,6.024052290417479,6.024096385542156,27.142857142857142,56.285714285714285,HIGH
4.0,19,87.5,19,1,13,5,5.263157894736842,68.42105263157895,26.31578947368421,4.466900867213902,2.994011976047908,41.57894736842105,59.94736842105263,HIGH
4.167,19,87.5,19,0,7,12,0.0,36.84210526315789,63.1578947368421,1.428379310155372,0.0,61.578947368421055,71.94736842105263,HIGH
4.333,19,87.5,19,0,4,15,0.0,21.052631578947366,78.94736842105263,0.6341154090044374,0.0,69.4736842105263,76.68421052631578,SEVERE
4.5,5,0.0,5,5,0,0,100.0,0.0,0.0,193.81361515436143,135.49351495790148,0.0,0.0,LOW
4.667,17,75.0,17,5,0,12,29.411764705882355,0.0,70.58823529411765,21.515901118676396,0.0,56.47058823529412,63.88235294117647,HIGH
4.833,17,75.0,17,11,6,0,64.70588235294117,35.294117647058826,0.0,19.26160979648504,17.56310811700388,10.588235294117649,36.35294117647059,MODERATE
5.0,18,81.25,18,10,7,1,55.55555555555556,38.88888888888889,5.555555555555555,12.924331053843716,11.569845660301883,16.111111111111114,42.16666666666667,MODERATE
5.167,17,75.0,17,13,4,0,76.47058823529412,23.52941176470588,0.0,16.54647954110631,18.211863863168343,7.0588235294117645,34.23529411764706,MODERATE
5.333,16,68.75,16,15,1,0,93.75,6.25,0.0,23.909462064326355,23.23196202073875,1.875,28.625,LOW
5.5,16,68.75,16,16,0,0,100.0,0.0,0.0,24.233121868893434,24.85967289463488,0.0,27.5,LOW
5.667,17,75.0,17,15,2,0,88.23529411764706,11.76470588235294,0.0,30.096977427863035,27.111931551309663,3.5294117647058822,32.11764705882353,MODERATE
5.833,16,68.75,16,15,1,0,93.75,6.25,0.0,30.80618221861125,31.578868435925497,1.875,28.625,LOW
6.0,15,62.5,15,13,2,0,86.66666666666667,13.333333333333334,0.0,24.88324499603884,27.603426518841008,4.0,27.4,LOW
6.167,17,75.0,17,14,2,1,82.35294117647058,11.76470588235294,5.88235294117647,24.216248719109444,27.603426518841008,8.23529411764706,34.94117647058823,MODERATE
6.333,19,87.5,19,16,1,2,84.21052631578947,5.263157894736842,10.526315789473683,23.345194735708237,24.096385542168623,10.0,41.0,MODERATE
6.5,19,87.5,19,16,2,1,84.21052631578947,10.526315789473683,5.263157894736842,21.717519911743626,21.79673619545068,7.368421052631579,39.421052631578945,MODERATE
6.667,20,93.75,20,18,2,0,90.0,10.0,0.0,21.500919374551916,20.238326953896205,3.0,39.3,MODERATE
6.833,20,93.75,20,14,6,0,70.0,30.0,0.0,18.725053402245276,15.64030844447964,9.0,42.9,MODERATE
7.0,17,75.0,17,12,5,0,70.58823529411765,29.411764705882355,0.0,14.333288947249413,13.389628607783187,8.823529411764707,35.294117647058826,MODERATE
7.167,17,75.0,17,14,3,0,82.35294117647058,17.647058823529413,0.0,26.129921507365253,24.13849625239089,5.294117647058824,33.1764705882353,MODERATE
7.333,18,81.25,18,15,1,2,83.33333333333334,5.555555555555555,11.11111111111111,26.396011492530743,27.769712220761647,10.555555555555554,38.83333333333333,MODERATE
7.5,17,75.0,17,17,0,0,100.0,0.0,0.0,30.43129938807041,28.40369155839865,0.0,30.0,MODERATE
7.667,17,75.0,17,17,0,0,100.0,0.0,0.0,35.15238662538209,29.940119760479075,0.0,30.0,MODERATE
7.833,17,75.0,17,15,1,1,88.23529411764706,5.88235294117647,5.88235294117647,32.554810315040974,30.71698502164321,6.470588235294118,33.88235294117647,MODERATE
8.0,16,68.75,16,16,0,0,100.0,0.0,0.0,51.38174465915691,47.370234995648616,0.0,27.5,LOW
8.167,15,62.5,15,15,0,0,100.0,0.0,0.0,55.23547468604397,46.4795649588624,0.0,25.0,LOW
8.333,15,62.5,15,15,0,0,100.0,0.0,0.0,61.39571435851159,56.83121163889507,0.0,25.0,LOW
8.5,16,68.75,16,16,0,0,100.0,0.0,0.0,63.717393682234885,62.18874336873036,0.0,27.5,LOW
8.667,16,68.75,16,16,0,0,100.0,0.0,0.0,57.0159032484556,54.22794421981874,0.0,27.5,LOW
8.833,14,56.25,14,14,0,0,100.0,0.0,0.0,59.5011385365395,56.15611580742888,0.0,22.5,LOW
9.0,12,43.75,12,12,0,0,100.0,0.0,0.0,60.31842080511617,54.54777718201092,0.0,17.5,LOW
9.167,14,56.25,14,11,1,2,78.57142857142857,7.142857142857142,14.285714285714285,47.15984159065886,37.7304339386254,13.57142857142857,30.64285714285714,MODERATE
9.333,14,56.25,14,14,0,0,100.0,0.0,0.0,58.463008938242034,54.30699553035904,0.0,22.5,LOW
9.5,14,56.25,14,14,0,0,100.0,0.0,0.0,57.07563793268112,54.2702745877679,0.0,22.5,LOW
9.667,13,50.0,13,13,0,0,100.0,0.0,0.0,59.53380279807731,51.51092974277028,0.0,20.0,LOW
9.833,14,56.25,14,14,0,0,100.0,0.0,0.0,58.880753584876366,51.36681652660563,0.0,22.5,LOW
10.0,12,43.75,12,12,0,0,100.0,0.0,0.0,55.58007146476128,46.71188137073999,0.0,17.5,LOW
10.167,12,43.75,12,12,0,0,100.0,0.0,0.0,61.795820775877694,54.68114867312717,0.0,17.5,LOW
10.333,14,56.25,14,13,0,1,92.85714285714286,0.0,7.142857142857142,57.07579920137073,49.03259215692672,5.7142857142857135,25.928571428571427,LOW
