timestamp_seconds,vehicle_count,tracked_vehicle_count,moving_vehicle_count,slow_vehicle_count,stopped_vehicle_count,moving_vehicle_percentage,slow_vehicle_percentage,stopped_vehicle_percentage,average_speed_kmh,median_speed_kmh,average_pixel_speed,median_pixel_speed,vehicle_density_score,vehicle_density_proxy,movement_congestion_score,vision_congestion_score,camera_congestion,traffic_state,camera_traffic_state,calibration_status,cars,motorcycles,buses,trucks,total_pixel_movement,unknown
1.833,17,17,0,1,16,0.0,5.88235294117647,94.11764705882352,1.08,1.09,4.97,6.02,75.0,80.95,77.06,76.24,76.65,SEVERE,SEVERE,demo_calibration,12,0,5,0,14.03,0
2.0,18,18,0,1,17,0.0,5.555555555555555,94.44444444444444,0.87,0.77,4.89,5.99,81.25,85.71,77.22,78.83,78.03,SEVERE,SEVERE,demo_calibration,12,0,6,0,15.21,0
2.167,18,18,0,0,18,0.0,0.0,100.0,0.49,0.17,2.82,2.99,81.25,85.71,80.0,80.5,80.25,SEVERE,SEVERE,demo_calibration,12,0,5,1,8.47,0
2.333,18,18,0,1,16,0.0,5.555555555555555,88.88888888888889,0.48,0.15,3.12,3.01,81.25,85.71,73.33,76.5,74.91,SEVERE,HIGH,demo_calibration,12,0,6,0,8.8,1
2.5,17,17,0,1,16,0.0,5.88235294117647,94.11764705882352,0.68,0.26,4.15,2.99,75.0,80.95,77.06,76.24,76.65,SEVERE,SEVERE,demo_calibration,12,0,4,1,11.77,0
2.667,17,17,0,2,15,0.0,11.76470588235294,88.23529411764706,1.14,0.85,6.31,5.99,75.0,80.95,74.12,74.47,74.3,HIGH,HIGH,demo_calibration,12,0,5,0,17.92,0
2.833,18,18,0,2,16,0.0,11.11111111111111,88.88888888888889,1.06,0.57,5.89,6.02,81.25,85.71,74.44,77.16,75.8,SEVERE,SEVERE,demo_calibration,13,0,5,0,19.16,0
3.0,18,18,0,4,14,0.0,22.22222222222222,77.77777777777779,1.71,1.65,8.43,6.69,81.25,85.71,68.89,73.83,71.36,HIGH,HIGH,demo_calibration,13,0,5,0,25.33,0
3.167,19,19,0,1,17,0.0,5.263157894736842,89.47368421052632,0.91,0.9,5.1,5.99,87.5,90.48,73.68,79.21,76.44,SEVERE,SEVERE,demo_calibration,14,0,5,0,15.33,1
3.333,20,20,0,2,17,0.0,10.0,85.0,0.75,0.17,3.6,3.01,93.75,95.24,71.5,80.4,75.95,SEVERE,SEVERE,demo_calibration,14,0,6,0,11.35,1
3.5,20,20,0,2,18,0.0,10.0,90.0,0.96,0.07,3.93,1.5,93.75,95.24,75.0,82.5,78.75,SEVERE,SEVERE,demo_calibration,15,0,5,0,13.12,0
3.667,20,20,0,2,18,0.0,10.0,90.0,0.71,0.15,3.08,2.99,93.75,95.24,75.0,82.5,78.75,SEVERE,SEVERE,demo_calibration,14,0,6,0,10.3,0
3.833,21,21,0,3,18,0.0,14.285714285714285,85.71428571428571,1.26,0.83,6.5,6.02,100.0,100.0,72.86,83.72,78.29,SEVERE,SEVERE,demo_calibration,14,0,7,0,24.42,0
4.0,19,19,0,0,19,0.0,0.0,100.0,0.67,0.3,3.93,5.99,87.5,90.48,80.0,83.0,81.5,SEVERE,SEVERE,demo_calibration,12,0,7,0,12.47,0
4.167,19,19,0,0,19,0.0,0.0,100.0,0.16,0.0,1.02,0.0,87.5,90.48,80.0,83.0,81.5,SEVERE,SEVERE,demo_calibration,12,0,7,0,3.24,0
4.333,19,19,0,0,19,0.0,0.0,100.0,0.07,0.0,0.48,0.0,87.5,90.48,80.0,83.0,81.5,SEVERE,SEVERE,demo_calibration,12,0,7,0,1.5,0
4.5,5,5,1,4,0,20.0,80.0,0.0,21.96,11.49,174.59,105.47,0.0,23.81,24.0,14.4,19.2,LOW,LOW,demo_calibration,4,0,1,0,145.79,0
4.667,17,17,1,4,0,5.88235294117647,23.52941176470588,0.0,9.3,4.68,65.03,40.72,75.0,80.95,14.12,38.47,26.3,MODERATE,LOW,demo_calibration,14,0,2,1,54.3,12
4.833,17,17,0,12,5,0.0,70.58823529411765,29.411764705882355,3.95,2.29,19.14,15.06,75.0,80.95,44.71,56.83,50.77,HIGH,MODERATE,demo_calibration,14,0,2,1,54.01,0
5.0,18,18,0,11,6,0.0,61.11111111111112,33.33333333333333,3.27,2.44,16.21,12.34,81.25,85.71,45.56,59.84,52.7,HIGH,MODERATE,demo_calibration,15,0,2,1,46.01,1
5.167,17,17,0,11,6,0.0,64.70588235294117,35.294117647058826,3.07,2.27,17.87,18.21,75.0,80.95,47.65,58.59,53.12,HIGH,MODERATE,demo_calibration,15,0,2,0,50.73,0
5.333,16,16,1,11,4,6.25,68.75,25.0,5.06,4.35,25.56,26.3,68.75,76.19,40.62,51.87,46.24,MODERATE,MODERATE,demo_calibration,14,0,2,0,67.87,0
5.5,16,16,0,13,3,0.0,81.25,18.75,4.87,4.75,24.85,24.14,68.75,76.19,39.38,51.13,45.26,MODERATE,MODERATE,demo_calibration,14,0,2,0,66.39,0
5.667,17,17,1,11,5,5.88235294117647,64.70588235294117,29.411764705882355,5.75,6.19,27.65,23.95,75.0,80.95,42.94,55.76,49.35,HIGH,MODERATE,demo_calibration,15,0,2,0,86.86,0
5.833,16,16,1,11,4,6.25,68.75,25.0,6.12,6.01,28.77,30.42,68.75,76.19,40.62,51.87,46.24,MODERATE,MODERATE,demo_calibration,13,0,2,1,96.69,0
6.0,15,15,0,11,4,0.0,73.33333333333333,26.666666666666668,4.99,3.54,24.2,25.41,62.5,71.43,43.33,51.0,47.16,MODERATE,MODERATE,demo_calibration,12,0,2,1,69.48,0
6.167,17,17,0,13,3,0.0,76.47058823529412,17.647058823529413,5.13,5.52,23.15,24.05,75.0,80.95,37.65,52.59,45.12,MODERATE,MODERATE,demo_calibration,12,1,2,2,70.87,1
6.333,19,19,0,12,5,0.0,63.1578947368421,26.31578947368421,4.62,4.55,22.52,23.52,87.5,90.48,41.05,59.63,50.34,HIGH,MODERATE,demo_calibration,14,1,2,2,63.55,2
6.5,19,19,0,12,6,0.0,63.1578947368421,31.57894736842105,3.97,3.62,19.55,19.63,87.5,90.48,44.74,61.84,53.29,HIGH,MODERATE,demo_calibration,14,2,2,1,58.76,1
6.667,20,20,1,12,7,5.0,60.0,35.0,4.55,3.1,20.34,18.48,93.75,95.24,46.0,65.1,55.55,HIGH,HIGH,demo_calibration,14,3,2,1,70.93,0
6.833,20,20,0,12,8,0.0,60.0,40.0,3.21,2.39,19.79,13.47,93.75,95.24,50.0,67.5,58.75,HIGH,HIGH,demo_calibration,14,3,2,1,65.71,0
7.0,17,17,0,10,7,0.0,58.82352941176471,41.17647058823529,3.19,3.45,18.62,13.39,75.0,80.95,50.59,60.35,55.47,HIGH,HIGH,demo_calibration,14,0,2,1,52.86,0
7.167,17,17,0,16,1,0.0,94.11764705882352,5.88235294117647,5.05,4.58,30.26,25.76,75.0,80.95,32.94,49.76,41.35,MODERATE,MODERATE,demo_calibration,14,1,2,0,103.1,0
7.333,18,18,2,13,2,11.11111111111111,72.22222222222221,11.11111111111111,5.83,4.58,34.11,29.15,81.25,85.71,31.11,51.17,41.14,MODERATE,MODERATE,demo_calibration,15,1,2,0,125.44,1
7.5,17,17,0,15,2,0.0,88.23529411764706,11.76470588235294,6.55,6.62,35.36,32.39,75.0,80.95,35.88,51.53,43.7,MODERATE,MODERATE,demo_calibration,14,1,2,0,100.38,0
7.667,17,17,0,15,2,0.0,88.23529411764706,11.76470588235294,7.95,8.43,38.93,40.72,75.0,80.95,35.88,51.53,43.7,MODERATE,MODERATE,demo_calibration,14,1,2,0,110.54,0
7.833,17,17,0,14,2,0.0,82.35294117647058,11.76470588235294,7.91,8.57,40.09,33.07,75.0,80.95,34.71,50.83,42.77,MODERATE,MODERATE,demo_calibration,14,1,2,0,123.83,1
8.0,16,16,2,11,3,12.5,68.75,18.75,9.45,10.45,52.26,48.87,68.75,76.19,35.62,48.87,42.24,MODERATE,MODERATE,demo_calibration,13,1,2,0,139.63,0
8.167,15,15,1,12,2,6.666666666666667,80.0,13.333333333333334,8.87,8.99,53.28,48.74,62.5,71.43,34.67,45.8,40.24,MODERATE,MODERATE,demo_calibration,12,1,2,0,133.47,0
8.333,15,15,6,7,2,40.0,46.66666666666666,13.333333333333334,11.77,12.44,63.98,66.33,62.5,71.43,24.67,39.8,32.24,MODERATE,MODERATE,demo_calibration,13,0,2,0,167.66,0
8.5,16,16,4,10,2,25.0,62.5,12.5,10.74,9.96,61.52,56.24,68.75,76.19,28.75,44.75,36.75,MODERATE,MODERATE,demo_calibration,14,0,2,0,172.11,0
8.667,16,16,5,9,2,31.25,56.25,12.5,12.35,12.94,59.07,52.29,68.75,76.19,26.88,43.63,35.26,MODERATE,MODERATE,demo_calibration,14,0,2,0,208.36,0
8.833,14,14,6,6,2,42.85714285714285,42.85714285714285,14.285714285714285,13.0,13.91,62.15,58.59,56.25,66.67,24.29,37.07,30.68,MODERATE,MODERATE,demo_calibration,12,0,2,0,144.43,0
9.0,12,12,5,6,1,41.66666666666667,50.0,8.333333333333332,13.09,14.62,64.99,61.07,43.75,57.14,21.67,30.5,26.08,MODERATE,LOW,demo_calibration,10,0,2,0,130.24,0
9.167,14,14,3,9,0,21.428571428571427,64.28571428571429,0.0,11.6,11.04,60.14,45.61,56.25,66.67,20.71,34.93,27.82,MODERATE,LOW,demo_calibration,12,0,2,0,120.53,2
9.333,14,14,4,10,0,28.57142857142857,71.42857142857143,0.0,11.35,11.13,62.73,49.68,56.25,66.67,21.43,35.36,28.4,MODERATE,LOW,demo_calibration,12,0,2,0,145.79,0
9.5,14,14,3,11,0,21.428571428571427,78.57142857142857,0.0,11.59,11.85,65.67,63.06,56.25,66.67,23.57,36.64,30.1,MODERATE,MODERATE,demo_calibration,12,0,2,0,153.55,0
9.667,13,13,3,10,0,23.07692307692308,76.92307692307693,0.0,12.32,11.65,69.03,60.18,50.0,61.9,23.08,33.85,28.46,MODERATE,LOW,demo_calibration,11,0,2,0,149.87,0
9.833,14,14,4,10,0,28.57142857142857,71.42857142857143,0.0,12.18,10.36,67.25,56.06,56.25,66.67,21.43,35.36,28.4,MODERATE,LOW,demo_calibration,12,0,2,0,170.34,0
10.0,12,12,3,9,0,25.0,75.0,0.0,11.65,10.35,65.41,55.23,43.75,57.14,22.5,31.0,26.75,MODERATE,LOW,demo_calibration,9,0,2,1,131.08,0
10.167,12,12,3,9,0,25.0,75.0,0.0,13.39,12.0,72.76,57.34,43.75,57.14,22.5,31.0,26.75,MODERATE,LOW,demo_calibration,10,0,2,0,155.12,0
10.333,14,14,4,9,0,28.57142857142857,64.28571428571429,0.0,12.79,12.3,69.24,60.62,56.25,66.67,20.0,34.5,27.25,MODERATE,LOW,demo_calibration,12,0,2,0,164.98,1
