timestamp_seconds,vehicle_count,tracked_vehicle_count,moving_vehicle_count,slow_vehicle_count,stopped_vehicle_count,moving_vehicle_percentage,slow_vehicle_percentage,stopped_vehicle_percentage,average_pixel_speed,median_pixel_speed,vehicle_density_score,vehicle_density_proxy,movement_congestion_score,vision_congestion_score,camera_congestion,traffic_state,camera_traffic_state
4.0,19,19,1,13,5,5.263157894736842,68.42105263157895,26.31578947368421,4.466900867213902,2.994011976047908,87.5,90.48,41.57894736842105,59.94736842105263,50.76,HIGH,MODERATE
4.167,19,19,0,7,12,0.0,36.84210526315789,63.1578947368421,1.428379310155372,0.0,87.5,90.48,61.578947368421055,71.94736842105263,66.76,HIGH,HIGH
4.333,19,19,0,4,15,0.0,21.052631578947366,78.94736842105263,0.6341154090044374,0.0,87.5,90.48,69.4736842105263,76.68421052631578,73.08,SEVERE,HIGH
4.5,5,5,5,0,0,100.0,0.0,0.0,193.81361515436143,135.49351495790148,0.0,23.81,0.0,0.0,0.0,LOW,LOW
4.667,17,17,5,0,12,29.411764705882355,0.0,70.58823529411765,21.5159011186764,0.0,75.0,80.95,56.47058823529412,63.88235294117647,60.18,HIGH,HIGH
4.833,17,17,11,6,0,64.70588235294117,35.294117647058826,0.0,19.26160979648504,17.56310811700388,75.0,80.95,10.588235294117649,36.35294117647059,23.47,MODERATE,LOW
5.0,18,18,10,7,1,55.55555555555556,38.88888888888889,5.555555555555555,12.924331053843716,11.569845660301883,81.25,85.71,16.111111111111114,42.16666666666667,29.14,MODERATE,LOW
5.167,17,17,13,4,0,76.47058823529412,23.52941176470588,0.0,16.54647954110631,18.211863863168343,75.0,80.95,7.0588235294117645,34.23529411764706,20.65,MODERATE,LOW
5.333,16,16,15,1,0,93.75,6.25,0.0,23.909462064326355,23.23196202073875,68.75,76.19,1.875,28.625,15.25,LOW,LOW
5.5,16,16,16,0,0,100.0,0.0,0.0,24.233121868893434,24.85967289463488,68.75,76.19,0.0,27.5,13.75,LOW,LOW
5.667,17,17,15,2,0,88.23529411764706,11.76470588235294,0.0,30.096977427863035,27.111931551309663,75.0,80.95,3.5294117647058822,32.11764705882353,17.82,MODERATE,LOW
5.833,16,16,15,1,0,93.75,6.25,0.0,30.80618221861125,31.578868435925497,68.75,76.19,1.875,28.625,15.25,LOW,LOW
6.0,15,15,13,2,0,86.66666666666667,13.333333333333334,0.0,24.88324499603884,27.603426518841008,62.5,71.43,4.0,27.4,15.7,LOW,LOW
6.167,17,17,14,2,1,82.35294117647058,11.76470588235294,5.88235294117647,24.216248719109444,27.603426518841008,75.0,80.95,8.23529411764706,34.94117647058823,21.59,MODERATE,LOW
6.333,19,19,16,1,2,84.21052631578947,5.263157894736842,10.526315789473683,23.34519473570824,24.096385542168623,87.5,90.48,10.0,41.0,25.5,MODERATE,LOW
6.5,19,19,16,2,1,84.21052631578947,10.526315789473683,5.263157894736842,21.717519911743626,21.79673619545068,87.5,90.48,7.368421052631579,39.42105263157895,23.39,MODERATE,LOW
6.667,20,20,18,2,0,90.0,10.0,0.0,21.50091937455192,20.238326953896205,93.75,95.24,3.0,39.3,21.15,MODERATE,LOW
6.833,20,20,14,6,0,70.0,30.0,0.0,18.72505340224528,15.64030844447964,93.75,95.24,9.0,42.9,25.95,MODERATE,LOW
7.0,17,17,12,5,0,70.58823529411765,29.411764705882355,0.0,14.333288947249413,13.389628607783187,75.0,80.95,8.823529411764707,35.294117647058826,22.06,MODERATE,LOW
7.167,17,17,14,3,0,82.35294117647058,17.647058823529413,0.0,26.129921507365253,24.13849625239089,75.0,80.95,5.294117647058824,33.1764705882353,19.24,MODERATE,LOW
7.333,18,18,15,1,2,83.33333333333334,5.555555555555555,11.11111111111111,26.396011492530743,27.769712220761647,81.25,85.71,10.555555555555554,38.83333333333333,24.69,MODERATE,LOW
7.5,17,17,17,0,0,100.0,0.0,0.0,30.43129938807041,28.40369155839865,75.0,80.95,0.0,30.0,15.0,MODERATE,LOW
7.667,17,17,17,0,0,100.0,0.0,0.0,35.15238662538209,29.940119760479075,75.0,80.95,0.0,30.0,15.0,MODERATE,LOW
7.833,17,17,15,1,1,88.23529411764706,5.88235294117647,5.88235294117647,32.554810315040974,30.71698502164321,75.0,80.95,6.470588235294118,33.88235294117647,20.18,MODERATE,LOW
8.0,16,16,16,0,0,100.0,0.0,0.0,51.38174465915691,47.370234995648616,68.75,76.19,0.0,27.5,13.75,LOW,LOW
8.167,15,15,15,0,0,100.0,0.0,0.0,55.23547468604397,46.4795649588624,62.5,71.43,0.0,25.0,12.5,LOW,LOW
8.333,15,15,15,0,0,100.0,0.0,0.0,61.39571435851159,56.83121163889507,62.5,71.43,0.0,25.0,12.5,LOW,LOW
8.5,16,16,16,0,0,100.0,0.0,0.0,63.717393682234885,62.18874336873036,68.75,76.19,0.0,27.5,13.75,LOW,LOW
8.667,16,16,16,0,0,100.0,0.0,0.0,57.0159032484556,54.22794421981874,68.75,76.19,0.0,27.5,13.75,LOW,LOW
8.833,14,14,14,0,0,100.0,0.0,0.0,59.5011385365395,56.15611580742888,56.25,66.67,0.0,22.5,11.25,LOW,LOW
9.0,12,12,12,0,0,100.0,0.0,0.0,60.31842080511617,54.54777718201092,43.75,57.14,0.0,17.5,8.75,LOW,LOW
9.167,14,14,11,1,2,78.57142857142857,7.142857142857142,14.285714285714285,47.15984159065886,37.7304339386254,56.25,66.67,13.57142857142857,30.64285714285714,22.11,MODERATE,LOW
9.333,14,14,14,0,0,100.0,0.0,0.0,58.463008938242034,54.30699553035904,56.25,66.67,0.0,22.5,11.25,LOW,LOW
9.5,14,14,14,0,0,100.0,0.0,0.0,57.07563793268112,54.2702745877679,56.25,66.67,0.0,22.5,11.25,LOW,LOW
9.667,13,13,13,0,0,100.0,0.0,0.0,59.53380279807731,51.51092974277028,50.0,61.9,0.0,20.0,10.0,LOW,LOW
9.833,14,14,14,0,0,100.0,0.0,0.0,58.880753584876366,51.36681652660563,56.25,66.67,0.0,22.5,11.25,LOW,LOW
10.0,12,12,12,0,0,100.0,0.0,0.0,55.58007146476128,46.71188137073999,43.75,57.14,0.0,17.5,8.75,LOW,LOW
10.167,12,12,12,0,0,100.0,0.0,0.0,61.795820775877694,54.68114867312717,43.75,57.14,0.0,17.5,8.75,LOW,LOW
10.333,14,14,13,0,1,92.85714285714286,0.0,7.142857142857142,57.07579920137073,49.03259215692672,56.25,66.67,5.7142857142857135,25.928571428571427,15.82,LOW,LOW
